Number,Date,Check 1,O/T,Check 2,O/T,Check 3,O/T,Final Age,Initaials,
205,2/23/25,5,O,5,T,,,5T,JG,
151,12/2/24,,,,,,,3T,JG,
10,2/23/25,,,,,,,3O,JG,
220,2/23/25,6,T,4,T,,,4T,JG,
232,2/23/25,3,T,4,O,,,4O,MT,
T,2/23/25,2,T,3,,,,2O,MT,
227,2/23/25,4,T,2,T,,,2T,MT,
239,2/23/25,3,O,3,T,,,3T,JN,
181,2/23/25,3,O,3,T,,,3T,JG,
300,2/23/25,2,T,3,T,,,3T,JG,
234,2/23/25,6,O,5,T,,,5T,ME,
355,9/7/25,5,O,6,O,,,6O,JG,
T,2/23/25,3,T,2,,,,2T,ME,
295,2/23/25,5,T,4,O,,,4T,ME,
468,9/7/25,5,T,4,O,,,4O,JG,
314,2/23/25,2,T,3,T,,,3T,JG,
289 / inconclusive,2/23/25,4,O,2,T,,,3O,JC,
395,9/7/25,5,T,3,T,,,3T,JA,
346,9/7/25,9,T,11,T,,,11T,JC,
323/ inconclusive,9/7/25,6,O,5,O,,,6T,JC,
363/ inconclusive,9/7/25,6,O,5,O,5,O,5O,JA,
268,2/23/25,6,T,5,O,,,6T,BL,
264,2/23/25,4,T,5,T,,,4T,BL + JG,
399,9/7/25,6,O,6,T,,,7T,BL + JG,
384,9/7/25,5,O,7,O,7,O,7O,BL,
369,9/7/25,6,O,8,O,,,8O,BL,
373,9/7/25,3,O,4,T,,,4T,BL,
467,9/7/25,5,O,4,T,4,T,4T,JA,
315,2/23/25,5,T,4,T,4,T,4T,BL,
296,2/23/25,5,T,4,T,,,5T,JA,
408,9/7/25,3,O,2,T,2,T,2T,JA,
325,9/7/25,5,O,,,,,5O,JA,
T,9/7/25,9/7/25,4,,,,,5O,JA,
258,2/23/25,7,T,7,O,,,7T,BD,
419,9/7/25,4,T,4,O,4,O,4O,BD,
316,2/23/25,3,T,4,T,3,T,3T,BD,
322,9/7/25,4,T,5,T,,,5T,JG,
281,2/23/25,5,O,6,O,,,7O,JG + J,
334,9/7/25,3,O,4,O,4,O,4O,JG,
241,2/23/25,4,T,3,T,,,3T,JG + J,
389,9/7/25,4,O,3,T,,,4O,JG,
266,2/23/25,3,T,2,T,,,2T,JG +J,
208,2/23/25,3,O,4,O,,,3O,JG,
242,2/23/25,,,,,,,3T,JG + J,
291,2/23/25,14,T,13,O,,,13O,JG,
293,2/23/25,5,T,4,T,,,4T ,JG + J,
443/ inconclusive,9/7/25,2,T,3,O,,,4O,JG,
383/ inconclusive,9/7/25,3,O,5,T,,,4O,JC,
265,2/23/25,4,T,2,T,,,4T,BL,
390,9/2/25,4,O,3,T,,,3T,JC,
330,9/7/25,4,O,5,O,,,5O,BL,
367,9/2/25,6,O,5,O,,,6T,JC,
391,9/7/25,7,T,6,T,,,7T,JA,
222,7/25/25,3,T,,,,,2T,JA,
414,9/7/25,7,T,6,T,,,6T,JC,
435,9/7/25,4,O,3,T,,,4O,JA,
320,9/7/25,7,O,,,,,5O,BD,
267,2/23/25,4,T,3,T,,,4T,PR,
328,9/7/25,5,O,7,O,,,7O,PR,
398,9/7/25,3,O,4,O,4,O,4O,BD,
345,9/7/25,5,T,6,O,,,6O,BD,
313,2/25/25,3,O,4,T,,,4T,TN,
403,9/7/25,6,O,5,O,5,O,5O,TN,
319,9/7/25,5,O,6,O,,,6O,TN,
324,9/7/25,3,T,2,T,,,2T,BD,
270,2/23/25,3,O,3,T,,,3O,BD,
374/ inconcclusive,9/7/25,4,T,3,T,,,5O,BD,
344,9/7/25,3,O,5,O,,,5O,BD,
388,9/7/25,4,O,4,T,,,6O,BD,
429,9/7/25,4,O,5,O,,,5O,BD,
283,2/23/25,4,T,4,T,,,5O,BD,
250,2/23/25,5,T,4,T,,,4T,BD,
481,11/9/25,3,O,5,T,,,5T,PL,
426,9/7/25,6,T,3,T,,,6O,BL,
246,2/23/25,4,T,,,,,3T,PL,
203,2/23/25,4,T,4,T,,,4T,MP,
204,2/23/25,4,T,4,T,,,4T,MP,
218,2/23/25,5,T,5,T,,,5T,MP,
217,2/23/25,2,T,2,T,,,2T,MP,
201,2/23/25,3,O,3,O,,,3O,AW,
206,2/23/25,4,T,4,T,,,4T,PP2,
221,2/23/25,2,T,2,T,,,2T,PP2,
225,2/23/25,5,T,5,T,,,5T,PP2,
226,2/23/25,6,T,6,T,,,6T,PP2,
228,2/23/25,5,O,6,T,6,T,6T,PL,
223,2/23/25,3,O,3,O,,,3O,PP2,
229,2/23/25,4,O,4,O,,,,,
230,2/23/25,3,T,3,T,,,,,
231/ inconclusive,2/23/25,2,T,,,1,O,,,
233,2/23/25,3,T,3,T,,,3T,MP,
237,2/23/25,3,O,3,O,,,3O,MP,
240,2/23/25,3,T,3,T,,,3T,MP,
242,2/23/25,5,T,,,,,,,
244,2/23/25,3,T,,,,,,,
290,2/23/25,4,O,4,O,,,4O,MP,
243,2/23/25,5,T,4,T,4,T,4T,BL,
249,2/23/25,2,T,2,T,,,2T,AB,
261,2/23/25,3,T,3,T,,,3T,MTM,
378,9/7/25,5,T,,,,,,,
444,9/7/25,3,O,,,,,,,
358,9/7/25,3,O,3,O,,,3O,PL,
372,9/7/25,4,T,,,,,,,
263,2/23/25,5,T,,,,,,,
294,2/23/25,4,T,,,,,,,
312,2/23/25,3,T,3,T,,,3T,PL,
269,2/23/25,3,T,3,T,,,3T,GB,
277,2/25/25,3,T,3,T,,,3T,AB,
267,2/26/25,1,O,,,,,,,
292,2/23/25,6,T,6,T,,,,,
297,2/23/25,4,O,4,O,,,,,
245,2/23/25,2,O,,,,,,,
382,9/7/25,3,T,3,T,,,3T,PL,
247,2/23/25,2,T,,,,,,,
248,2/23/25,4,T,5,T,4,T,4T,BL,
381,9/7/25,6,O,6,O,,,,,
298,2/23/25,4,T,4,T,,,4T,GB,
379,9/7/25,7,O,7,O,,,7O,AM,
380,9/7/25,6,O,,,,,,,
252,2/23/25,3,T,3,T,,,3T,PL,
253,2/23/25,3,T,5,T,3,T,3T,JC,
259,2/23/25,3,T,4,T,4,T,4T,MM,
255,2/23/25,3,T,2,T,3,T,3T,MM,
254,2/23/25,4,T,4,T,,,4T,AB,
257,2/23/25,5,T,4,T,5,T,5T,BD,
303,2/25/25,2,T,2,T,,,2T,PR,
304,2/25/25,4,T,4,T,,,4T,AM,
278,2/23/25,4,T,3,T,3,T,3T,BD,
273,2/23/25,4,T,,,,,,,
318,2/23/25,3,T,3,T,,,3T,PL,
340,9/7/25,7,O,7,O,,,7O,GB,
301,2/25/25,3,T,,,,,,,
305,2/25/25,3,T,3,T,,,3T,PL,
272,2/23/25,3,T,,,,,,,
274,2/23/25,3,O,4,T,,,,,
476,9/7/25,7,O,7,O,,,7O,PL,
306,2/25/25,3,T,3,T,,,3T,AW,
321,9/7/25,4,O,4,O,,,4O,PL,
347,9/7/25,4,O,4,O,,,4O,GB,
307,2/25/25,3,T,3,T,,,3T,MP,
279,2/23/25,3,T,3,T,,,3T,PL,
329,9/2/25,3,T,,,,,,,
327,9/7/25,3,O,3,O,,,3O,PL,
359,9/7/25,7,O,7,O,,,7O,MP,
442,9/7/25,3,T,3,T,,,3T,PR,
392,9/7/25,4,O,4,O,,,,,
404,9/7/25,5,O,3,O,5,O,5O,BD,
450,9/7/25,6,O,7,T,6,O,6O,JA,
331,9/7/25,2,T,2,T,,,2T,PL,
280,2/23/25,5,T,5,T,,,5T,MP,
284,2/23/25,2,T,2,T,,,2T,MP,
448,9/7/25,5,O,5,O,,,5O,KH,
354,9/7/25,4,T,,,,,,,
357,9/7/25,4,T,5,O,,,5O,MP,
308,2/25/25,4,T,4,T,,,4T,KH,
310,2/23/25,3,T,3,T,,,3T,GB,
317,2/23/25,3,T,3,T,,,3T,MP,
287,2/23/25,3,T,4,T,4,T,4T,MM,
439,9/7/25,5,O,5,O,,,5O,AM,
411,9/7/25,5,O,5,O,,,5O,MP,
470/ inconclusive,9/7/25,4,T,4,O,5,O,,,
393,9/7/25,4,O,4,O,,,4O,AM,
271,2/23/25,5,O,5,T,5,T,5T,MM,
275/ inconclusive,2/23/25,6,T,,,1,T,,,
406,9/7/25,5,T,5,O,,,,,
350,9/7/25,6,T,6,T,,,6T,KH,
425,9/7/25,4,T,5,T,5,T,5T,MM,
436,9/7/25,7,T,7,T,,,7T,KH,
282,9/7/25,2,T,,,,,,,
377,9/7/25,5,O,5,O,,,5O,MP,
416,9/7/25,7,O,8,O,7,O,7O,JC,
417,9/7/25,4,O,4,O,,,4O,KH,
415,9/7/25,4,O,4,O,,,4O,KH,
376/ inconclusive,9/7/25,3,O,4,O,6,O,,,
352,9/7/25,3,O,3,O,,,3O,MP,
375,9/7/25,2,O,,,,,,,
370,9/7/25,4,O,5,O,,,,,
362,9/7/25,5,O,5,O,,,5O,HE,
335,9/7/25,3,T,3,T,,,3T,PL,
413,9/7/25,4,O,4,O,,,4O,MP,
397,9/7/25,5,O,5,O,,,5O,HE,
332,9/7/25,4,O,4,O,,,4O,MP,
341,9/7/25,7,O,7,O,,,7O,MP,
366,9/7/25,6,O,6,O,,,6O,MP,
342,9/7/25,4,O,4,O,,,4O,MP,
348,9/7/25,2,O,2,O,,,2O,PL,
343,9/7/25,1,O,2,T,2,T,2T,BD,
437,9/7/25,5,O,6,O,6,O,6O,BL,
386,9/7/25,5,O,5,O,,,5O,AW,
353,9/7/25,2,O,3,O,3,O,3O,PL,
441,9/7/25,3,O,4,O,4,O,4O,BD,
333,9/7/25,4,O,4,O,,,4O,MP,
466,9/7/25,8,O,8,O,,,8O,AM,
445,9/7/25,4,T,4,T,,,4T,JC,
326,9/7/25,6,O,7,T,,,,,
451,9/7/25,3,T,3,T,,,3T,PL,
337,9/7/25,4,O,3,O,,,,,
336,9/7/25,4,O,,,,,,,
422,9/7/25,5,O,5,O,,,5O,BD,
454,9/7/25,3,O,3,O,,,3O,PL,
453,9/7/25,3,T,3,T,,,3T,PL,
431,9/7/25,9,O,9,O,,,9O,BD,
433,9/7/25,6,O,7,O,7,O,7O,BD,
440,9/7/25,5,O,5,T,5,O,5O,PL,
475/ inconclusive,9/7/25,3,T,3,O,5,O,,,
446,9/7/25,5,T,5,O,5,O,5O,JA,
402,9/7/25,4,T,4,O,,,4O,AM,
412,9/7/25,4,T,5,T,5,T,5T,PL,
424,9/7/25,4,O,4,O,,,4O,PL,
410,9/7/25,7,O,7,O,,,7O,MT,
385/ need kaylee,9/7/25,,,,,,,,,
420,9/7/25,4,T,,,,,,,
434,9/7/25,6,O,6,O,,,6O,BD,
461,9/7/25,5,T,4/5?,O,,,,,
456,9/7/25,4,O,4,O,,,4O,PL,
364,9/7/25,7,O,7,O,,,7O,AM,
464,9/7/25,5,O,5,O,,,5O,BD,
438,9/7/25,5,O,4,O,,,,,
421,9/7/25,4,O,4,O,,,4O,PR,
462,9/7/25,3,T,,,,,,,
409,9/7/25,4,O,4,O,,,4O,PL,
473,9/7/25,7,O,6,O,,,,,
360,9/7/25,5,T,5,T,,,5T,AM,
387,9/7/25,3,O,,,,,,,
365,9/7/25,1,O,,,,,,,
430,9/7/25,3,O,4,O,,,,,
447,9/7/25,4,T,4,O,,,,,
478,9/7/25,7,O,7,O,,,7O,AW,
471,9/7/25,9,O,7,O,7,O,7O,JA,
474,9/7/25,3,O,3,O,,,3O,PR,
463,9/7/25,5,O,6,O,5,O,5O,JA,
458,9/7/25,7,O,7,O,,,7O,BD,
460,9/7/25,3,O,3,O,,,3O,JA,
428,9/7/25,4,O,4,O,,,4O,JA,
285,2/23/25,4,T,4,T,,,4T,AW,
472,09/0725,4,T,5,O,5,O,5O,MM,
477,9/7/25,6,O,6,O,,,6O,AW,
465,9/7/25,4,O,4,O,,,4O,AW,
407,9/7/25,7,O,7,O,,,7O,AW,
427,9/7/25,7,O,6,O,6,O,6O,JA,
405,9/7/25,3,T,3,T,,,3T,AW,
432,9/7/25,5,T,5,T,,,5T,JA,
101,12/2/24,7,T,7,T,,,7T,JC,
188,2/23/25,3,T,3,O,,,,,
449,9/7/25,3,T,3,T,,,3T,JC,
459,9/7/25,5,O,5,T,,,,,
479,11/9/25,3,O,3,O,,,3O,JC,
480,11/9/25,5,O,5,T,5,T,5T,JA,
482,11/9/25,3,T,3,T,,,3T,JC,
483,11/9/25,6,O,7,O,7,O,7O,PL,
484,11/9/25,4,O,4,O,,,4O,JC,
485,11/9/25,5,O,5,O,,,5O,JC,
486,11/9/25,2,O,3,O,,,,,
528,11/9/25,4,O,4,O,,,4O,TN,
529,11/9/15,6,O,8,O,6,O,6O,BL,
530,11/9/25,5,O,5,O,,,5O,TN,
531,11/9/25,6,T,6,T,,,6T,TN,
532,11/9/25,5,O,5,T,5,O,5O,BL,
533,11/9/25,5,T,5,T,,,5T,BL,
534,11/9/25,4,T,4,T,,,4T,BL,
535,11/9/25,8,O,8,O,,,8O,BL,
536,11/9/25,8,O,8,O,,,8O,BL,
537,11/9/25,4,T,2,T,4,T,4T,TN,
538,11/9/25,5,O,5,T,,,,,
539,11/9/25,4,T,3,T,4,T,4T,TN,
540,11/9/25,5,O,5,O,,,5O,BL,
541,11/9/25,4,O,4,O,,,4O,HE,
544,11/9/25,3,O,3,O,,,3O,HE,
545,11/9/25,8,O,4,T,8,O,8O,TN,
546/ inconclusive,11/9/25,4,T,3,T,5,O,,,
549,11/9/25,5,O,3,O,5,O,5O,BD,
551/ inconclusive,11/9/25,3,O,2,O,5,O,,,
506,11/9/25,4,O,4,O,,,,,
507/ inconclusive,11/9/25,8,T,6,O,7,T,,,
508,11/9/25,4,O,4,O,,,4O,JA,
JA,11/9/25,2,O,2,O,,,2O,,
510,11/9/25,3,T,2,O,,,,,
511/ inconclusive,11/9/25,2,T,2,O,6,T,,,
512,11/9/25,6,O,7,O,6,O,6O,BL,
513,11/9/25,3,T,3,T,,,,,
515,11/9/25,4,O,5,O,5,O,5O,TN,
516,11/9/25,3,T,3,T,,,3T,TN,
517,11/9/25,5,T,5,T,,,5T,TN,
521,11/9/25,4,T,4,O,,,4O,AM,
522,11/9/25,3,O,3,O,,,3O,AM,
523,11/9/25,3,O,4,O,3,O,3O,BL,
524,11/9/25,5,T,5,T,,,5T,TN,
